strata.1,strata.2,Fst,Fst.p.val,year
FRH,NH,0.04151797129396859,9.99000999000999e-4,2017
MRH,CH,0.035301787931227784,9.99000999000999e-4,2017
MRH,FRH,0.022820927000040157,9.99000999000999e-4,2017
MRH,MRH,0,9.99001e-4,2017
MRH,NH,0.043050692642226294,9.99000999000999e-4,2017
NH,CH,0.05076163639859903,9.99000999000999e-4,2017
NH,FRH,0.04151797129396859,9.99000999000999e-4,2017
NH,MRH,0.043050692642226294,9.99000999000999e-4,2017
NH,NH,0,9.99001e-4,2017
CH,CH,0,9.99001e-4,2018
CH,FRH,0.017886134504202678,9.99000999000999e-4,2018
CH,MRH,0.04699125438424029,9.99000999000999e-4,2018
CH,NH,0.1148177610666332,9.99000999000999e-4,2018
FRH,CH,0.017886134504202678,9.99000999000999e-4,2018
FRH,FRH,0,9.99001e-4,2018
FRH,MRH,0.030009617074990252,9.99000999000999e-4,2018
FRH,NH,0.1005955443065296,9.99000999000999e-4,2018
MRH,CH,0.04699125438424029,9.99000999000999e-4,2018
MRH,FRH,0.030009617074990252,9.99000999000999e-4,2018
MRH,MRH,0,9.99001e-4,2018
MRH,NH,0.12154956456929168,9.99000999000999e-4,2018
NH,CH,0.1148177610666332,9.99000999000999e-4,2018
NH,FRH,0.1005955443065296,9.99000999000999e-4,2018
NH,MRH,0.12154956456929168,9.99000999000999e-4,2018
NH,NH,0,9.99001e-4,2018
CH,CH,0,9.99001e-4,2019
CH,FRH,0.021053075281874462,9.99000999000999e-4,2019
CH,MRH,0.03772816285460308,9.99000999000999e-4,2019
CH,NH,0.11905549701424488,9.99000999000999e-4,2019
FRH,CH,0.021053075281874462,9.99000999000999e-4,2019
FRH,FRH,0,9.99001e-4,2019
FRH,MRH,0.016930513359636912,9.99000999000999e-4,2019
FRH,NH,0.10910630511867493,9.99000999000999e-4,2019
MRH,CH,0.03772816285460308,9.99000999000999e-4,2019
MRH,FRH,0.016930513359636912,9.99000999000999e-4,2019
MRH,MRH,0,9.99001e-4,2019
MRH,NH,0.10440968426824478,9.99000999000999e-4,2019
NH,CH,0.11905549701424488,9.99000999000999e-4,2019
NH,FRH,0.10910630511867493,9.99000999000999e-4,2019
NH,MRH,0.10440968426824478,9.99000999000999e-4,2019
NH,NH,0,9.99001e-4,2019
