strata.1,strata.2,Fst,Fst.p.val,year
CH,MRH,0.03356363752228446,9.99000999000999e-4,2017
CH,NH,0.07450322387181726,9.99000999000999e-4,2017
FRH,CH,0.022181053661153968,9.99000999000999e-4,2017
FRH,FRH,0,9.99001e-4,2017
FRH,MRH,0.01969056612451687,9.99000999000999e-4,2017
FRH,NH,0.0667163334149083,9.99000999000999e-4,2017
MRH,CH,0.03356363752228446,9.99000999000999e-4,2017
MRH,FRH,0.01969056612451687,9.99000999000999e-4,2017
MRH,MRH,0,9.99001e-4,2017
MRH,NH,0.0634325177369739,9.99000999000999e-4,2017
NH,CH,0.07450322387181726,9.99000999000999e-4,2017
NH,FRH,0.0667163334149083,9.99000999000999e-4,2017
NH,MRH,0.0634325177369739,9.99000999000999e-4,2017
NH,NH,0,9.99001e-4,2017
CH,CH,0,9.99001e-4,2018
CH,FRH,0.021043839174960437,9.99000999000999e-4,2018
CH,MRH,0.040223376412995816,9.99000999000999e-4,2018
